,company,description,location,posted,title
349,CDK Global,cdk global stability meets agility provide integrated technology solutions 26 500 auto truck motorcycle marine recreational vehicle heavy equipment dealers throughout world work industry brightest minds providing sophisticated technology solutions automotive industry believe cubes silos walls shifted focus collaboration innovation agility position summary cdk global currently seeking experienced channel marketing strategy manager digital marketing business role responsible channel marketing strategy assigned portfolio oem partners develop implement marketing programs support customer acquisition revenue growth retention channel marketing strategy manager lead member marketing team works build awareness drive demand cdk global digital solutions services within oem channel partners support cdk global sales teams marketing programs internally externally assist meeting annual channel sales goals responsibilities work product marketing enterprise solutions translate cdk global marketing strategies objectives projects concrete actionable channel marketing strategic plan develop channel marketing programs sales growth customer retention implement channel campaigns order expand market share pursue aggressive growth targets work closely integrated marketing team plan execute campaigns trade shows promotional events focused assigned channels ensure customers date new products enhancements develop maintain manage partner website portal associated content support sales enablement strategy communication strategy overall cdk global marketing strategy guidance product marketing corporate marketing work product marketing teams digest program content new products key initiatives continuously synthesize prioritize position messages marketing campaigns interact sales account leaders present marketing plans programs serve marketing expert products within digital marketing business create easy absorb scripting sales services teams improve ability engage prospects customers channel marketing campaigns work sales services teams gather voice customer incorporate feedback marketing campaigns share recommendations product marketing teams program level enhancements measure channel marketing effectiveness ongoing reporting communicate progress goals using salesforce pardot google analytics data measurement tools inform marketing decisions monitor industry trends competitive shifts influence campaign messaging investments manage competing changing priorities resources time demands produce plans results efficient goal oriented qualifications job requirements ba bs degree marketing communication related discipline 3 5 years marketing experience including multi tiered channel environments proven ability develop execute effective end end channel marketing strategies influence advise internal partners marketing strategy direction able develop strategies frameworks also drive execution strategies solid project management skills multi tasker able meet deadlines build stakeholder relationships despite ambiguous shifting requirements cdk global equal opportunity employer minorities women veterans disabled believe diversity people ideas biggest strength hiring support growth greenlight career today cdkjobs com,"Seattle, WA",Posted 9 days ago,Channel Marketing Strategy Manager
350,Deloitte,e cyber identity access management senior consultant sailpoint identityiq identitynow position summary interested working dynamic environment offers opportunities professional growth new responsibilities deloitte touche llp could place unparalleled time change new information security challenges arising day team cyber risk professionals bring industry experience confidence technical knowledge help clients tackle unique challenges identity access management iam solutions leverage deloitte iam methods 2 0 methodology help clients control employees customers partners suppliers access sensitive corporate resources streamline process managing explosion digital identities work identity access management iam solutions team senior consultant demonstrate advanced understanding business processes internal control risk management controls related standards identify evaluate complex business technology risks internal controls mitigate risks related opportunities internal control improvement understand complex business information technology management processes execute advanced services supervise staff delivering basic services responsible install integrate deploy identityiq identitynow product client environments communicate clients partners aspects product implementation technical functional level appropriate situation post sales requirements gathering analysis documentation manage project scope schedule status documentation build nurture positive working relationships clients intention exceed client expectations identify opportunities improve engagement profitability team deloitte advisory cyber risk team helps complex organizations confidently pursue growth innovation performance agendas proactive management associated cyber risks professionals provide advisory implementation services integrate risk regulatory technology skills help clients transform legacy programs proactive secure vigilant resilient tm cyber risk programs join team developing future state cyber risk solutions learn deloitte advisory cyber risk services practice job requirements e cyber identity access management senior consultant sailpoint identityiq identitynow qualifications required 3 years plus experience developing implementing architecting information systems 3 years plus technical architecture experience integrating identity management access management access governance software clients infrastructure applications 2 years plus experience installation integration deployment sailpoint identityiq identitynow product client environment identity management familiarity one following areas single sign identity federation enterprise directory architecture design including directory schema namespace replication topology experience resource provisioning identity access governance including role based access control access request certification 2 years experience following programming languages java javascript jsp servlets sql 1 years managing projects full system development lifecycle must willing travel 80 within north america ba bs degree computer science cyber security information security engineering information technology finance business preferred previous consulting big 4 experience preferred certifications cissp cism cisa certification plus grow deloitte professional development plan focuses helping people every level career identify use strengths best work every day entry level employees senior leaders believe always room learn offer opportunities help sharpen skills addition hands experience global fast changing business world job learning experiences formal development programs deloitte university professionals variety opportunities continue grow throughout career explore deloitte university leadership center benefits deloitte know great people make great organization value people offer employees broad range benefits learn working deloitte mean deloitte culture positive supportive culture encourages people best work every day celebrate individuals recognizing uniqueness offering flexibility make daily choices help healthy centered confident aware offer well programs continuously looking new ways maintain culture people excel lead healthy happy lives learn life deloitte corporate citizenship deloitte led purpose make impact matters purpose defines extends relationships clients people communities believe business power inspire transform focus education giving skill based volunteerism leadership help drive positive social impact communities learn deloitte impact world recruiter tips want job seekers exploring opportunities deloitte feel prepared confident help interview suggest research know background organization business area applying check recruiting tips deloitte professionals deloitte used document deloitte means deloitte llp subsidiaries please see www deloitte com us detailed description legal structure deloitte llp subsidiaries qualified applicants receive consideration employment without regard race color religion sex sexual orientation gender identity national origin age disability protected veteran status legally protected basis accordance applicable law disclaimer reviewing job posting careers site jobs2 deloitte com one approved job boards cannot guarantee validity posting list current postings please visit us jobs2 deloitte com used posting deloitte advisory means deloitte touche llp provides audit enterprise risk services deloitte financial advisory services llp provides forensic dispute consulting services affiliate deloitte transactions business analytics llp provides wide range advisory analytics services deloitte transactions business analytics llp certified public accounting firm please see www deloitte com us detailed description legal structure deloitte llp subsidiaries entities separate subsidiaries deloitte llp qualified applicants receive consideration employment without regard race color religion sex sexual orientation gender identity national origin age disability protected veteran status legally protected basis accordance applicable law,"San Francisco, CA",Posted 24 days ago,"E- Cyber Identity & Access Management Senior Consultant – Sailpoint, IdentityIQ, IdentityNow"
351,"Lab Support, a division of On Assignment",scientist process sciences scientist process sciences drive development new processes research early clinical development fantastic opportunity join small team work transformative science take part building exciting science driven company responsibilities include plan design execute studies develop new process production cell therapies early clinical development including scale evaluation raw materials process optimization aspects neural stem cell culture maintenance expansion pluripotent cells differentiation harvest cryopreservation collaborate closely cross disciplinary team coordinate drive process development activities communicate results written oral presentations reports develop documentation sops bpr etc transition manufacturing technology transfer maintain detailed records weekend work maintain cell cultures required qualifications ph bioengineering related field 2 5 years industry experience relevant degree experience biotechnology process development manufacturing demonstrated ability transition projects research early clinical development proven ability work member interdisciplinary team contribute highly collaborative environment excellent communication skills ability clearly effectively present document experimental data knowledge cgmps regulatory requirements guidelines high energy passion drug discovery development experience human pluripotent stem cells plus familiar vitro directed differentiation paradigms molecular functional characterization derived cell types qualified interested please send resumes [click email resum ] subject line scientist process sciences eeo employerlab support equal opportunity affirmative action employer evaluate qualified applicants without regard race color religion sex national origin disability veteran status protected characteristics visited website search information employment opportunities apply position require accommodation using website search application please contact employee services department 844 463 6178,"South San Francisco, CA",Posted 19 days ago,Scientist - Process Sciences
352,IMMEDIATE START - FULL TIME,job description develop refine leadership skills abilities goal eventually moving leadership role job duties team building motivation receive provide training team members need work leaders plan direct work organization attend national seminars conferences create reports update company team progress work different departments gain perspective including marketing sales customer service purchasing merchandising personal departments participating management interviewing hiring training employees job requirements www marketingon6th com skills qualifications self motivated student mentality able maintain positive attitude fun around business knowledge clear vision good work ethic committed hitting goals effective communicator salary 30 000 40 000 base plus bonus structures available work fortune 500 clients opportunities progression fast growing international business stimulating environment marketing 6th advantage marketing 6th specialize events marketing promotion offers benefits cost efficiency professionalism superior customer experience mo6 goals marketing 6th started internationally national coverage already tripled entered 2016 going game changing year marketing 6th,"Walnut Creek, CA",Posted 24 days ago,Leadership Development Program- Paid Training Weekly | Full Time
353,Akamai Technologies,jobhow would feel opportunity work company runs one largest distributed systems world handling much 30 world internet traffic seeking outstanding senior application software engineer transcoding team help architect build next generation libraries components teamthe akamai media division responsible software used deliver download store manage digital media content via akamai network part highly skilled engineering team responsible creating software runs akamai world wide network one largest distributed systems world handle traffic scalable reliable secure way busiest important sites around globe leveraging global deployment 100k servers 1 000 networks uniquely solve problems exceed fundamental limitations traditional networking media services engineering specifically focuses strategic products enable media solutions customers including storage analytics content workflow encoding transcoding security entitlement identity management media players responsibilitiesakamai looking software engineer senior help support build next generation tools components operational activities large scale analytics data video libraries role candidate would opportunity work products see deployment akamai global network used top media entertainment companies role concentrates operations customer facing 24x7x365 cloud infrastructure cloud infrastructure administration servers storage middleware non application software networks operations support applications business processes required included focus areas critical evaluation selection software hardware components infrastructure cloud providers address security requirements datacenter monitoring deployment provisioning tools etc software engineer senior technical hands opportunity work private public cloud enterprise company addressing critical marketplace innovation pushing envelope high volume infrastructure scale horizontally address security reliability performance availability scalability infrastructure responsibilities include 100 hands cloud software management compute storage network infrastructure hands technical working engineering team creative application developer experience rapidly development distributed application using either java python c monitor application release management infrastructure provisioning deployment hands experience managing 24x7 global datacenter operations implement operational tools like provisioning monitoring performance measurement tools etc responsible performance availability scalability infrastructure understanding cloud solution approaches technical infrastructure service management financial sourcing perspective define lead next generation high availability datacenter architectures operational tools automation infrastructure provisioning 24x7 operations open handle customer facing production environment monitoring performance release deployment security reliability availability capacity latency non functional concerns job requirements required qualifications bachelor degree computer science equivalent experience 5 years hands managing support operations large infrastructure server farm datacenter environment managing systems network storage systems 5 years software development experience linux unix systems proven track record minimum 5 years providing support managed services 5 years strong hands background data centers networking virtualization service management 3 years experience big data infrastructure like cassandra couchdb architecture scaling infrastructures experience infrastructure capacity planning based key attributes flexible continuous learner excellent communicator works well team environment appreciates challenge comfortable effective working new areas require experimentation rapid problem solving desired qualifications master degree computer science equivalent experience distributed nosql technologies like bigcouch cassandra experience architecture large distributed complex systems experience complete software development life cycle requirements design implementation testing release excellent verbal written communication skills required deep understanding scaling horizontal scaling infrastructure architectures information relocation available position us citizenship required security clearance required yes applicants selected subject government security investigation must meet eligibility requirements access classified information,"Santa Clara, CA",Posted 4 days ago,Senior Software Engineer
354,"Greater San Francisco Bay Area, CA",harvest technical seeking instrument engineer pharmaceutical client greater san francisco bay area duties install calibrate troubleshoot modify process control instruments systems manufacturing applications control equipment manufacturing related utilities program configure plcs microprocessor based controllers data loggers assist control systems start validation collect organize technical data equipment manufacturers equipment users engineering personnel assist identification purchase organization spare parts interact customers including scientists engineers production staff job requirements skills thorough knowledge fundamental operating principles industrial process instrumentation systems isa standards practices instrumentation relay ladder logic programmable controllers practical knowledge computer aided manufacturing automation ability read interpret engineering documents shop schematics possess good oral written communication skills education completion instrumentation industrial electronic 2 year curriculum technical school aa degree related science engineering major including substantial relevant job training plus two years progressive experience manufacturing process control instrumentation closely related job proven performance record highly desirable highschool diploma equivalent experience statement equal employment opportunity commitment harvest technical services corporation policy discriminate qualified employee applicant employment race color religion sex age national origin physical mental handicap individual disabled vietnam era eligible veteran,N/A,Posted 2 days ago,Instrument Engineer
355,Apple Inc.,changing world day work apple love innovation chance make career work hard job comes perks ios macos data analysis team analyzes produces insights diagnostic usage data iphone ipad apple watch macintosh systems data used improve apple products services inform strategic direction products looking talented web developers build applications aggregate visualize data key qualifications 3 years web development ability design build web applications ui layer database backend deep knowledge javascript depth understanding frameworks backbone node ember extensive working experience ruby rails programming experience mysql postgres oracle databases proven experience ux design solid understanding good software engineering practices version control code reviews testing refactoring excellent communication interpersonal organizational skills description work across organization understand requirements build high value interactive web applications working data scientists big data engineers develop new ways visualize interact data extracted large hadoop clusters work visibility across levels apple software engineering organization interested working fast paced environment collaboration top engineering talent would like talk education bs computer science equivalent experience additional requirements good working knowledge database systems experience javascript charting libraries highcharts experience scripting languages php python apple equal employment opportunity employer committed inclusion diversity also take affirmative action offer employment advancement opportunities applicants including minorities women protected veterans individuals disabilities,"Cupertino, CA",Posted 17 days ago,iOS/macOS Data Analysis - Web Application Engineer
356,Deloitte,deloitte advisory cyber risk full time summer fall 2017 university california berkeley passion solving toughest problems clients large complex organizations constantly evolve innovate build better products services serve customers constituents new ways process encounter new cyber risks increasingly sophisticated cyber threat terrain work help address cyber risk increasingly important success strength economy public security cyber risk intern work diverse teams leading professionals help design implement solutions today toughest cybersecurity challenges opportunity build skills across variety cyber risk domains gain exposure challenges range industry sectors work consultant cyber risk partner clients design implement solutions integrate security processes improve ability detect respond cyber attacks achieve business growth manage reputational risks build foundations information technology business design implement business aligned cyber risk management programs processes systems help clients focus investments key information technology risks specific areas work could include deploying various technologies establish data privacy security controls helping improve application security managing system software vulnerabilities establishing methods securing smart devices developing advanced cyber monitoring security analytics solutions establishing cyber crisis management capabilities providing cyber forensics incident response support team deloitte view cyber risk primarily business challenge understanding even well secured clients occasionally experience serious cyber incidents developed secure vigilant resilient framework help take comprehensive approach thrive even face escalating threats takes advanced technologies address cyber risk also takes strong threat awareness analytic capabilities solid preparedness respond crisis strong leadership governance processes keep things focused really matters organization deloitte stands one firms offer clients full range capabilities needed build comprehensive cyber risk programs every year serve hundreds clients across every major industry sector cyber risk services teams work c suite level technology operations level broad vantage point enables us offer informed innovative advisory services joining team part developing future state cyber risk solutions learn cyber risk services practice job requirements deloitte advisory cyber risk full time summer fall 2017 university california berkeley qualifications required bachelor master science business administration concentration computer science information systems information security math decision sciences risk management engineering mechanical electrical industrial business technology disciplines relevant work experience e g internships summer positions school jobs ability work independently manage multiple projects assignments responsibilities fast paced environment demonstrated leadership strong verbal written communication skills demonstrated problem solving critical thinking skills travel 80 may required dependent role location preferred strong academic track record minimum gpa 3 2 grow variety experiences deloitte opportunity develop analytical communication leadership skills help achieve full potential matter career path eventually choose working client service teams real business problems internship program designed help develop technical skills well critical professional behaviors standards mindsets make internship work cyber risk professionals gain first hand exposure day day responsibilities challenges develop insights working client engagements along way access mentoring counseling training opportunities help foster accelerate development new skills capabilities interns invited participate advisory internship conference hosted summer deloitte university explore deloitte university leadership center deloitte culture positive supportive culture encourages people best work every day celebrate individuals recognizing uniqueness offering flexibility make daily choices help healthy centered confident aware offer well programs continuously looking new ways maintain culture people excel lead healthy happy lives learn life deloitte corporate citizenship deloitte led purpose make impact matters purpose defines extends relationships clients people communities believe business power inspire transform focus education giving skill based volunteerism leadership help drive positive social impact communities learn deloitte impact world recruiter tips want job seekers exploring opportunities deloitte feel prepared confident help interview suggest research know background organization business area applying also suggest brush interviewing skills practice discussing experience job history family member friend mentor check recruiting tips deloitte professionals deloitte used document deloitte means deloitte llp subsidiaries please see www deloitte com us detailed description legal structure deloitte llp subsidiaries qualified applicants receive consideration employment without regard race color religion sex sexual orientation gender identity national origin age disability protected veteran status legally protected basis accordance applicable law disclaimer reviewing job posting careers site jobs2 deloitte com one approved job boards cannot guarantee validity posting list current postings please visit us jobs2 deloitte com used posting deloitte advisory means deloitte touche llp provides audit enterprise risk services deloitte financial advisory services llp provides forensic dispute consulting services affiliate deloitte transactions business analytics llp provides wide range advisory analytics services deloitte transactions business analytics llp certified public accounting firm please see www deloitte com us detailed description legal structure deloitte llp subsidiaries entities separate subsidiaries deloitte llp qualified applicants receive consideration employment without regard race color religion sex sexual orientation gender identity national origin age disability protected veteran status legally protected basis accordance applicable law,"San Francisco, CA",Posted 20 days ago,Deloitte Advisory- Cyber Risk (Full-Time) Summer/Fall 2017- University of California Berkeley
357,Monroe Staffing Services,career opportunities uk north america asia israelthis complex global organisation building world class enterprise architecture function exceptional senior enterprise architects experienced c level stakeholders needed envisage create architecture support global business particular interest enterprise architects evidence proven capability across least one following domains infrastructure enterprise data customer data analytics automation enterprise information security front office platforms corporate systems right individual transformational opportunity strategic thought leader communicator influencer need deep sound technical experience ability think act strategically enable ongoing delivery business value core deliverables create lead technology strategy specific business division domain negotiate agree architecture leadership team senior stakeholders translate architecture agreed programme works facilitate delivery solutions architect appropriate act technical authority coach solutions architects required sit architecture team control divisional solution architecture policy collaborate elaboration global technology strategy requirements proven experience leading enterprise architecture programmes within complex geographically dispersed business accustomed influencing presenting negotiating c level stakeholders senior management teams globally practical experience establishing deep understanding existing architectures hands experience architectural transformation achieve divisional goals experience mentoring teams ideally educated degree level numerate analytical discipline computer science engineering equivalent postgraduate qualifications phd desirable eeo support people,"Seattle, WA",Posted 19 days ago,ENTERPRISE ARCHITECTURE TEAM - GLOBAL REMIT
358,"San Ramon, CA",client profile premier uav client looking sr software engineer video codec video compression office san ramon ca client leader uav strive produce world advanced uav products help people explore world beyond imagination also create applications based ai technologies make world better place want people passion stamina want innovators want people collaborate bring us creative future ready ride us explore world ready prosper advancing career ready turn impossibilities reality join fly job requirements job description experience avc hevc h 264 h 265 motion estimation video codec video conferencing video streaming image processing image enhancement 3d imaging frame rate conversion frc error concealment stereoscopic image video analytics image segmentation wireless display udp protocol network simulation dsp programming video firmware education ph preferred apply qualified position please submit resume word format along brief cover letter apply site forward resume [click email resum ] us cognate inc software services company based milpitas ca focus areas include mobility mobile enablement business line applications enterprise migration integration cloud custom application development java net open source technologies please visit us www cognateinc com,N/A,Posted 10 days ago,Video codec / video Compression Engineer
359,Sears Holdings,website program manager owns continual technical customer experience improvement sears commercial website well site performance p l high visibility role principle site owner website program manager creates rapid evolution roadmap based site data customer research competitive analysis strong vision innovative features important commercial b2b user advocate customer store owner business role requires familiarity ux concepts well ecommerce best practices used guide critical projects forward experience ecommerce traffic analysis p l reporting google analytics sql data expected job duties responsibilities develop annual roadmap website feature development coordination team capabilities use data report website sales traffic trends using google analytics data warehouse prioritize track progress long short term projects ensure frequent feature releases improve customer visibility orders transactions using email customer facing dashboards define measure online customer segments develop site features content improve cx build relationships establish frequent communication marketing teams provide updates leadership teams website performance roadmap development priorities job requirements job duties responsibilities ensure initiatives programs successful defined flawless execution achievement desired results outcome associate engagement schedule implementation etc create project plans associated actions timelines owners drive accountability accordingly facilitate meetings key stakeholders needed drive program forward proactively drive changes program including action plans business processes communications etc based upon evolving business needs develop implement regular cadence ensure sustainability programs vs one time event develop executive level communications presentations variety programs synthesizing complex disjointed information manage third party vendors websites support programs develop track key metrics evaluate overall effectiveness programs job requirements bachelor level degree 3 4 years related experience project management skills ability manage multiple complex projects simultaneously creative problem solving analytical skills verbal written communication skills including ability interact executive level leaders drive results influence change associates detail oriented sense urgency fast paced evolving working environment integrity including able maintain confidentiality times sense urgency fast paced evolving working environment team player ability build strong internal network technically savvy preferred skills proven track record drive complex programs across large associate organizations master degree business communications public relations eeo employer,"Seattle, WA",Posted 4 days ago,Website Program Manager
360,CORESTAFF Services,business analystas business analyst work closely cross functional teams confidential project fast paced recruiting organization role integral partner owning data analysis validation reconciliation able apply breadth tools data sources analytical techniques help us answer wide range questions present insights concise effective manner ideal person project management guru work effectively internal external partners possess great analytical skills capable shifting gears moment notice enjoy challenges helping build great organization talented individuals amazing opportunity someone looking broaden experience opportunity work top hr organization role one main conduits external vendors internal functional teams including ap finance hris hiring managers across multiple business lines outside responsible overall reporting space also responsible developing data framework ensure high data quality includes support activities resolving critical issues serving data quality advocate regular system audits ensure complete accurate reporting summarizing written findings publicizing results engaging leadership appropriate key attributes role strong background data relationships data mining quantitative vs qualitative analyticscomfortable writing functional specifications document business requirements terms technical teams understandhas global mindset excellent ability partner wide variety clientspassionate advocate customer experience constantly thinks improve experience customers creative thinker works find solutions difficult ambiguous problemsexceptional personal bias actionability work independently problem solve little directionrobust sense accountability sound personal judgment capacity handle confidential information appropriately effectively raising issuesgreat organizational skills attention detail able prioritize multiple tasks simultaneously without sacrificing ability dive deepstrong interpersonal abilities effectively communicate written verbally technical information results analysis levels organizationbasic qualificationsbachelor degree applicable discipline business mathematics related field preferred qualifications5 years dedicated data analyst related function experienceworking knowledge oracle business intelligence obiee peoplesoft hrms systems plusadvanced degree mba applicable advanced degree experience contingent workforce management operations4 years project management experiencecorestaff services equal opportunity employer qualified applicants receive consideration without regard race color religion gender national origin age disability veteran status factor determined unlawful applicable law corestaff services associated core staffing services inc operates new york metro area,"Seattle, WA",Posted 4 days ago,Analyst
361,Cisco,part group talented individules tasked delivering exceptional customer experience audiences across many digital properties channels also privilege developing deep understanding cisco portfolio customer base driving customer interviews strategy lifecycle roadmap key initiatives across cisco business related new digital experiences partnering marketing customer experience teams organization establish coordination message touch points frequency across customer facing channels leading customer journey experience design efforts identify customer needs champion customer throughout organization enable customer exposure empathy understanding campaigns design thinking methodology developing metrics reporting analytics understand optimize program drivers impact streamlining customer journey transform frictionless experience leverage existing automation tools innovate journeys personalization contextual interactions work position join small nimble team paving way ideate incubate activate ideas blending art design thinking process agile labs primary focus collaborate teams bring customers desires needs life digital properties team creative results driven customer focused digital marketers thrive fun impact driven organization ultimately looking someone comfortable fast paced environment adapt easily changing requirements excel minimal guidance handle uncertainty ambiguity attitude also afraid take risks passion new products solutions think strategically know fail fast rapidly iterate deep process expertise digital marketing understanding customer buying process journeys familiarity digital channels knowledge cross channel orchestration marketing automation experience personalization real time marketing programs ability use data tool gaining journey customer insights establish measure progress goals ability synthesize results efforts various sources information provide recommendations myopic focus providing best possible digital customer experience exceptional communication organizational skills ability manage multiple projects fast paced deadline driven environment proven ability build consensus work effectively within cross departmental team experience empathizing customers interviews understand needs incorporating feedback marketing campaigns cisco connect everything people processes data things innovate everywhere taking bold risks shape technologies give us smart cities connected cars handheld hospitals style unique personalities afraid change way world works lives plays learns thought leaders tech geeks pop culture aficionados even purple haired rock stars celebrate creativity diversity fuels innovation dreamers doers cisco watch video learn cisco marketing digital customer experience omni channel design thinking cross channel customer journey user experience,"San Jose, CA",Posted 12 days ago,Global Omni-Channel Manager
362,JLL,please note virtual position open chicago san francisco seattle new york locations summary position development team supports intellicommand long term competitiveness ability provide scale quality user experience leading edge technologies cost effective deployments support jll broader integrated facilities management programs development project engineer serves technical team member intellicommand development department utilizing software development best practices development project engineer implement unique functions features order facilitate intellicommand iot strategies development project engineer gain experience contributing development projects essential functions develop program analytics ui apis back end software components part intellicommand enhancements requested management identify process inefficiencies suggest improvement strategies system performance departmental tracking documentation performances remain date software development best practices incorporate team feedback continuously improve quality work comply standardization development best practices across software components communicate development status team management incorporate requirements development cycle work team members maintain legacy software components comply team efforts standards ensure quality assurance must willing learn additional jll platforms services related iot strategies needed basis attention detail ability work multiple projects simultaneously solid multitasking skills self motivated ability work independently manages time prioritizes projects strong communication skills maintaining professional appearance conduct strong problem solving analytical skills ability articulate findings recommendations team members clients thrive team environment work well others communicate professional credible manner able travel authorized seminars conventions needed estimated travel 5 education experience bachelor degree field computer science mechanical industrial electrical engineering 3 years experience related field knowledge skills abilities advanced knowledge software languages standards fantom axon java javascript css html json xml c net experience using version control project management tools tfs git apache maven experience using relevant software frameworks javaee angularjs nodejs experience eclipse ide experience using relevant software frameworks wso2 platform kendoui telerik javaee experience creating using publishing web service api consumption third party organizations jll jll nyse jll professional services investment management firm offering specialized real estate services clients seeking increased value owning occupying investing real estate fortune 500 company annual fee revenue 5 2 billion gross revenue 6 0 billion jll 280 corporate offices operates 80 countries global workforce 60 000 behalf clients firm provides management real estate outsourcing services property portfolio 4 0 billion square feet 372 million square meters completed 138 billion sales acquisitions finance transactions 2015 investment management business lasalle investment management 59 1 billion real estate assets management jll brand name registered trademark jones lang lasalle incorporated information visit www jll com jll focused winning marketplace industry leader executing better anyone else innovating create great products services operate atmosphere excellence integrity respect trust bring sense teamwork inclusion diversity everything pursue clients see results address needs solve problems bring new ideas distinguished market leader offer challenging career opportunities exciting environment future success firm depends ability attract develop retain best people business values define underscore commitment clients provide direction everything unique culture recognized industry experts peers best company work multiple locations around globe including chicago san francisco london ireland shanghai hong kong world ethical companies ethisphere institute seven consecutive years america 100 trustworthy companies forbes magazine 1 top corporate real estate firm 2013 watkins research group inc six consecutive years partial list awards demonstrates record achievement commitment fostering award winning culture information visit www jll com information security statement employees expected times perform responsibilities accordance jll code business ethics firm corporate policies employees granted access firm information technology expected follow firm guidance designed promote best practices information security data privacy appropriate use technology systems jll committed developing maintaining diverse workforce strongly believes equal opportunity extended individuals aspects employment relationship please visit www jll com additional information jll commitment equal opportunity,"Seattle, WA",Posted 25 days ago,Development Project Engineer
363,CyberCoders,position open 10 23 2016 senior full stack engineer python sql javascript angular senior full software engineer 5 years full stack experience proficient python sql javascript programming please read based san francisco help clients make better decisions providing products leverage best industry forecasts data visualization tools industry group tech geeks misfits need passionate mid senior software engineer full stack capabilities help build enhance revolutionary tools fundamentally shift way paper driven industry work enable industry professionals work efficiently accurately right candidate comfortable across majority stack python javascript angular js django rest web services restful apis postgresql mysql cassandra databases aws ec2 s3 etc data analytics experience top reasons work us1 work complex industry game changing saas products2 massive growth 3 marquee enterprise paying clients world class saas productswhat doingcreate beautiful clean code javascript python codeintegrate microservices angular frontendwork complex data visualizations help client decision makingbuild scalable restful complex client apis power single page applications spa write scalable testable well documented codecreate libraries enable modular extensible designwhat need positionrequired 5 years full stack software engineering experience advanced python advanced front end technologies javascript css3 html5 bootstrap jquery experienced javascript mvc frameworks angular js similar react js backbone js rest web service restful api development integrations sql programming strong database experience postgresql mysql rdbms experience amazon web services aws ec2 s3 etc experience scm software git githubnice skills required experience django django rest framework huge plus data visualization d3 js highcharts svg huge plus experience open layers similar js mapping huge plus nosql database experience cassandra preferred others mobile development design experience ios android continuous integration delivery experience jenkins team city docker travis ci hudson similiar real estate logistics finance industry experience postgis experiencewhat youamazing compensation package competitive base salaryequity stock options 100 medical dental vision coverage employees dependentsunlimited ptoflexible work hourswork home optionscommuter pass muni ferry bartlyft per diemcatered lunches dinners many perks full stack software engineer 5 years experience strong python javascript programming please apply today required skillsfull stack development python oo javascript rest restful api development integrations postgresql mysql nosql databases angular js similar js mvc framework amazon web services d3 js highcharts svg django drf continuous integration jenkinsif good fit senior full stack engineer python sql javascript angular position background includes full stack development python oo javascript rest restful api development integrations postgresql mysql nosql databases angular js similar js mvc framework amazon web services d3 js highcharts svg django drf continuous integration jenkins interested working following job types information technology engineering professional serviceswithin following industries computer software banking financial services biotechnologyour privacy policy resume information kept completely confidential looking forward receiving resume website going job detail cybercoders inc proud equal opportunity employer qualified applicants receive consideration employment without regard race color religion sex national origin disability protected veteran status characteristic protected law right work compliance federal law persons hired required verify identity eligibility work united states complete required employment eligibility verification document form upon hire job requirements full stack development python oo javascript rest restful api development integrations postgresql mysql nosql databases angular js similar js mvc framework amazon web services d3 js highcharts svg django drf continuous integration jenkins,"San Francisco, CA",Posted 4 days ago,"Senior Full Stack Engineer - Python, SQL, JavaScript (Angular)!"
